2021-12-28 16:12:996 INFO  CreateAccountPage :120 - Selecting month :[[ChromeDriver: chrome on WINDOWS (ff06fd05157b5c65176cf4ff85f0292d)] -> xpath: //select[@id='months']]
2021-12-28 16:12:311 INFO  CreateAccountPage :127 - Selecting year :[[ChromeDriver: chrome on WINDOWS (ff06fd05157b5c65176cf4ff85f0292d)] -> xpath: //select[@id='years']]
2021-12-28 16:12:776 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 16:12:285 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 16:12:147 INFO  SignInPage :32 - enter email:[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> id: email_create]
2021-12-28 16:12:262 INFO  SignInPage :37 - click on button[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> id: SubmitCreate]
2021-12-28 16:12:983 INFO  CreateAccountPage :79 - Select option :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> xpath: //label[@for='id_gender2']]
2021-12-28 16:12:203 INFO  CreateAccountPage :87 - Entering Customer first name :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> xpath: //input[@id='customer_firstname']]
2021-12-28 16:12:357 INFO  CreateAccountPage :93 - Entering customer last name :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> xpath: //input[@id='customer_lastname']]
2021-12-28 16:12:869 INFO  CreateAccountPage :106 - Entering password :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> xpath: //input[@id='passwd']]
2021-12-28 16:12:179 INFO  CreateAccountPage :114 - Selecting day :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> xpath: //select[@id='days']]
2021-12-28 16:12:399 INFO  CreateAccountPage :121 - Selecting month :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> xpath: //select[@id='months']]
2021-12-28 16:12:691 INFO  CreateAccountPage :128 - Selecting year :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> xpath: //select[@id='years']]
2021-12-28 16:12:802 INFO  CreateAccountPage :134 - Entering first name :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> id: firstname]
2021-12-28 16:12:912 INFO  CreateAccountPage :140 - Entering last name :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> id: lastname]
2021-12-28 16:12:48 INFO  CreateAccountPage :146 - Entering company :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> id: company]
2021-12-28 16:12:172 INFO  CreateAccountPage :152 - Entering address1 :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> id: address1]
2021-12-28 16:12:282 INFO  CreateAccountPage :164 - Entering city :[[ChromeDriver: chrome on WINDOWS (150f6b23f017eb0699a9985390f8db7b)] -> id: city]
2021-12-28 16:12:628 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 16:12:25 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 16:12:233 INFO  SignInPage :32 - enter email:[[ChromeDriver: chrome on WINDOWS (c8226eff2a950c5ce34d5d9c17edbd4b)] -> id: email_create]
2021-12-28 16:12:360 INFO  SignInPage :37 - click on button[[ChromeDriver: chrome on WINDOWS (c8226eff2a950c5ce34d5d9c17edbd4b)] -> id: SubmitCreate]
2021-12-28 16:12:606 INFO  CreateAccountPage :79 - Select option :[[ChromeDriver: chrome on WINDOWS (c8226eff2a950c5ce34d5d9c17edbd4b)] -> xpath: //label[@for='id_gender2']]
2021-12-28 16:12:735 INFO  CreateAccountPage :87 - Entering Customer first name :[[ChromeDriver: chrome on WINDOWS (c8226eff2a950c5ce34d5d9c17edbd4b)] -> xpath: //input[@id='customer_firstname']]
